epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5971.33,0.78565,1.16697,0.81194,0.99934,0.41501,0.55052,0.46095,0.35657,0.43514,0.5191,0.46421,0.35426,0.86158,1.19898,0.8658,1.06839,0.007129,0.007129,0.007129
31,6181.36,0.77606,1.15531,0.80285,0.99344,0.41909,0.52299,0.45132,0.34623,0.42597,0.53039,0.45559,0.33896,0.85469,1.21042,0.88364,1.0641,0.00703,0.00703,0.00703
32,6382.68,0.77263,1.14643,0.78895,0.99557,0.46039,0.53896,0.4422,0.34399,0.46128,0.53804,0.44713,0.3359,0.85557,1.20054,0.8655,1.06803,0.006931,0.006931,0.006931
33,6583.98,0.76781,1.14476,0.78505,0.99177,0.46516,0.52759,0.45152,0.34582,0.46771,0.53049,0.45334,0.34236,0.86427,1.20953,0.87855,1.07569,0.006832,0.006832,0.006832
34,6787.29,0.76738,1.14104,0.77481,0.98772,0.42048,0.53195,0.44092,0.3401,0.43004,0.52924,0.44477,0.33798,0.85743,1.20931,0.89195,1.06644,0.006733,0.006733,0.006733
35,6995.48,0.76215,1.13644,0.76728,0.98621,0.4333,0.49976,0.44141,0.34649,0.43091,0.50217,0.44282,0.33324,0.85829,1.20065,0.87415,1.06637,0.006634,0.006634,0.006634
36,7198.01,0.75757,1.12308,0.76331,0.98288,0.47075,0.49421,0.45034,0.34175,0.47182,0.4918,0.45181,0.33992,0.85744,1.19872,0.87896,1.0677,0.006535,0.006535,0.006535
37,7402.94,0.75522,1.12085,0.75081,0.98027,0.45324,0.51059,0.45295,0.3517,0.48437,0.50207,0.45651,0.34522,0.85804,1.20494,0.88695,1.06532,0.006436,0.006436,0.006436
38,7601.18,0.75459,1.12169,0.74846,0.98041,0.47411,0.48822,0.45479,0.34718,0.47488,0.48906,0.45875,0.34578,0.8613,1.20135,0.88377,1.06747,0.006337,0.006337,0.006337
39,7801.64,0.74837,1.11299,0.74395,0.97916,0.45005,0.50102,0.44954,0.34721,0.45915,0.5089,0.45654,0.34022,0.86921,1.21989,0.89047,1.08078,0.006238,0.006238,0.006238
40,8007.87,0.74794,1.11686,0.73456,0.98001,0.49497,0.48341,0.45619,0.34987,0.45706,0.53207,0.45984,0.33715,0.86773,1.21627,0.8897,1.07421,0.006139,0.006139,0.006139
